Var1	Day10	Day14	Day7
DCAF13	1.31346454013949	1.28408690795035	1.44677859248572
DCTPP1	2.88854765361649	2.89914912118687	2.38254786103176
DENR	3.31986170647082	2.78751595755414	2.78218543292499
DEPTOR	1.44008621981047	1.37302451262843	1.2401414188416
DFFB	1.31629545977848	1.2236922179471	1.41776414237688
DGCR2	1.72518538172943	1.57363782417341	1.62670660908971
DHRS9	1.2844341066665	1.1881281339686	1.07468256962588
DNAJC10	1.826661229789	1.7725320774927	1.84327790801827
DNAJC12	1.31514167166405	1.23178726994568	1.31742795944997
DNMT3B	1.65628830067128	1.52165076399765	1.49593071540808
DPH5	2.28288799307357	2.28590536007733	2.17550490481461
DPPA4	1.31684699733019	1.34105355688111	1.53689227459531
DSTN	3.51118901856516	2.78090134808051	3.39125478614103
EAF2	1.66540731014065	1.53577202736181	1.48663714137666
EBF2	0.990709235895085	1.03846796885723	0.977938710689208
ECHDC1	2.12139569200686	1.90563628552558	1.88518192015637
ECHS1	3.05058752944785	2.83389546344735	2.30756675125216
EIF2AK1	8.02616860434325	8.5649134786859	11.2300187173117
EIF3L	7.3491739929336	7.92138897501549	5.54799801801963
ELMO1	1.43449862259156	1.45168218831482	1.50503050498434
ENTPD4	1.83528441086005	1.65639183569974	1.77281578316962
EPB42	6.73471990058641	7.89823022985989	8.41951766492023
ERMAP	2.9426456028755	3.39272011493151	6.07239631050645
FAM168A	1.34290069051467	1.31706874250658	1.40931952086814
FAM214B	1.93875266207889	2.13194828530654	2.24007065943086
FAM216A	1.80040570625183	1.49770184739033	1.60749763641682
FAM35A	2.80275367394705	2.57744153154777	2.49578645386599
FAM60A	2.59937860999764	2.37263110232874	2.81580479131386
FAR2	1.85573484623029	1.5625004419115	1.41533406798714
FAXDC2	2.31355404152573	2.51669300136714	4.1515841797051
FBL	5.54626615195864	5.51119705990729	4.25388143689907
FCER1A	1.9680484642556	1.51983241831396	1.54680452998242
FDX1	2.04791182923893	1.70713106989818	1.7012601057516
FKBP3	2.84573365670911	2.65257322878805	2.4801307398032
FKBP9	1.71238158961434	1.38980523007712	1.37204835814126
FOXO4	1.6762189600932	1.82065272079875	3.86659433236675
FUS	3.87146331884983	4.15038033099271	3.21014893534638
GABBR1	1.17635277033359	1.12801613824645	1.19691132499937
GALNT1	3.37745232659184	2.84534907973267	3.41573664343481
GALNT7	1.88190416757487	1.67239296371243	1.78186502774436
GATA2	2.36128828733878	2.30417439962352	2.542631094184
GATM	1.15398935828767	1.15564327870308	1.25519053399072
GBE1	3.23499610251881	2.71548543400252	2.38763318778996
GCFC2	1.59419274571334	1.54783054494924	1.4612721708316
GCSH	2.27571775628565	1.95570175056916	1.93430437925499
GEMIN6	1.60174346051779	1.63072523823591	1.43180512810092
GFM1	1.45968426145498	1.52209363103606	1.5041733302688
GIT1	1.78140012148226	1.78963057092951	1.64650990226824
GLMN	1.62572577788398	1.56062546610049	1.58062068754928
GLRX3	2.61635658626212	2.33117960275343	2.67346317902151
GLTP	1.38882826116148	1.35081086116956	2.01298246971546
GMFB	2.42347990788838	2.30994953327902	2.46744949957821
GNB1	3.07659429059413	2.57983809469725	2.72485660219771
GYG1	2.87323724636316	2.29188864208464	2.04128523081895
GYPC	4.74461717399118	5.96732021515268	4.61092713286438
HADH	2.42308874231012	2.27776563107736	2.12463042328279
HDDC2	3.10860307385866	3.15225390666639	2.58540396380769
HECTD4	3.39345511062702	3.57478282651611	5.43865074019453
HERC4	1.45110598138268	1.34883110547268	1.64183287237214
HHEX	1.57527062509969	1.47177176809583	1.60553377096293
HIBCH	1.65299643646813	1.4561334397662	1.49696047785539
HLA-G	2.33247341239166	1.97413079977533	1.53486629805448
HMGN3	3.77974482562479	3.39820876188048	3.77526541514549
HMGN4	2.72256323837692	2.35201608047088	2.27684150070301
HS2ST1	2.20859746151411	1.9343869452442	2.04824399604388
IARS2	3.36928054578903	2.50159674670733	2.46313734562167
IGFBP7	3.642280116778	2.41424447485645	1.51112893029997
IKBKB	1.81087713531594	1.54890409056516	1.61583856593167
IQCB1	2.01446850666991	1.85243037400688	1.63016254299619
KAT2B	3.59971859559332	4.13258429697699	6.83555344880792
KDSR	1.97055149346232	1.76550931727886	1.9858721300524
KIT	5.64550179088326	5.47873780874344	5.23063239411744
LAPTM4B	3.72684250857294	2.7873745377025	2.31423196126745
LDHA	8.36846336710467	6.20691725314964	5.66742624012364
LDHB	8.00836803088916	8.53353162606258	6.30078071793404
LEPROTL1	2.18400344009068	1.86673514805568	2.69670490205696
LRPPRC	4.60617958192833	4.25657782282822	3.96678352893922
LSM6	2.21547179243456	2.07413652255214	2.40736265628044
MAGEF1	1.49251576436019	1.27402007748773	1.37908551774662
MAP2K6	1.17852319448418	1.12633911637098	1.08322307897428
MARCH2	2.16201490775263	2.24237892893402	4.29952637272977
MARCH3	2.56876579103794	2.63886546087081	4.43659863034409
MCFD2	2.11162391975408	1.74773902336316	1.92912291401772
ME2	3.70034672440765	2.79992380921308	3.08188827282514
MGST2	2.42346318954124	2.17850757984755	1.97947132302356
MINA	1.71326628370084	1.59554913638389	1.85686761013823
MKNK2	5.09857117418105	6.16691402356724	10.9491403501197
MNDA	2.2183271099167	1.67615414360234	1.14202686642026
MPHOSPH6	2.47053405344018	2.22513796462958	2.15783176466023
MRC2	1.52900589643301	1.36962514815181	1.82436923722409
MRPS35	3.35595226355782	3.08399902880746	3.19289955896467
MTRR	2.01376889113321	1.97181468137249	2.0934886683898
MTX2	2.28361717735314	2.00896441764876	1.98950624178504
MYC	3.53138660283704	3.26238590501138	2.89799110075528
MYCT1	1.03974765511005	1.03959697137771	1.08970002387564
NAA35	1.94831618043455	1.7676004667353	1.77625456703378
NACC2	1.22832489943911	1.17475193266854	1.66892166681004
NANOG	1.11751510514849	1.21311154051505	1.18237733764295
NAP1L3	1.08035644993982	1.06796732641268	1.12127424654757
NARS2	2.02824684514976	1.79683554967472	1.71561398363554
NCK2	1.59848436682243	1.40913791932271	1.33441078729234
NDRG3	1.97844537553148	1.8235871754782	1.79105882966829
NDUFAF7	1.49604416032928	1.39503945530111	1.46002757633989
NFKB1	1.73877972213347	1.51958438688121	1.440921524404
NIT2	2.27136590164048	1.97496103700059	1.8237764377184
NOL10	1.69847886024622	1.69378453606919	1.77668637298968
NOL8	2.27556129591933	2.18772042445208	2.2755326573489
NPL	2.55338510880944	2.37285297453083	3.73828702916176
NREP	2.89521737446227	2.18448298492963	2.16188733114116
NSA2	5.00936271869798	5.12089486460089	4.26942963606862
NSF	2.35268730564971	2.06412430895303	1.83630483057985
NSMAF	2.42324442597978	1.94321742395311	1.93147042271985
NT5DC3	1.06361593824291	1.03866521639594	1.07148008068815
NUCB2	3.11534776929422	2.83120153848785	2.59328507514836
NUDT11	1.25864338393739	1.2076148408624	1.21439476880094
NUDT3	2.59388378732956	2.38387470568767	3.00009474211955
NUDT9	1.87499723828894	1.65634264849777	1.58107524367108
NUFIP1	1.6466936974057	1.57427770663256	1.57539880024232
NUP205	2.77763887782508	2.40617246061458	2.37922375640289
PAICS	4.55000586220561	4.04146138252536	3.68335041049624
PAM	1.62946151409335	1.33512011421827	1.38030210909408
PARP16	1.51102360620386	1.45614025555215	1.71681186599586
PAWR	1.03776904811965	1.08891744213345	1.07747022097219
PCYOX1	1.23836282812154	1.17056743137914	1.22676284232716
PDLIM5	1.86572061826051	1.62085192091696	1.67808996997764
PDSS1	1.92039792823287	1.65172448874876	1.81078091200168
PEBP1	3.63132466441411	3.66170480781697	2.76159964122649
PEX3	1.70944595062985	1.53314089811922	1.72536827501907
PGS1	1.60397967802053	1.53806795993508	1.36509614350159
PHACTR2	1.78812675345418	1.56165886912678	1.66345458519447
PHF1	1.75052495021984	1.71259364310536	1.73267435385851
PHF14	1.31723870863321	1.29493976572114	1.39785310533739
PITPNB	3.68298707359277	3.4939278711905	3.25045437104585
PITPNM3	0.958641280699697	0.936251592241384	0.967337627506412
PKM	2.09330570473426	1.71819682389253	1.56243289961478
PLAGL1	2.15475578352966	1.85677688456597	2.10471700316984
PLOD2	1.84987433075659	1.31489349888336	1.88143773192045
POGK	1.45039790164233	1.29150516359259	1.36875499273774
POGLUT1	1.5664582095567	1.4625194803931	1.41473025451008
PPP1R3D	1.25558025945441	1.16764713368864	1.12567864774205
PRDX2	8.61680685222569	12.2624632139838	9.20183648869089
PRKACB	2.98922733867385	2.71348604679416	2.95669292343515
PRPH2	1.00450777552312	1.00787106229566	1.16181229683675
PRRC2B	1.8327338644559	1.72761437698486	1.69544619426591
PSMF1	4.48423197622841	4.47587002636458	7.28693595543939
PTDSS1	4.65352680729183	4.20794885217115	4.78277338344468
PUM3	2.62094386122211	2.40345168221891	2.12387169413191
QDPR	2.1069310697825	1.88747123622159	1.71074023227437
R3HDM1	2.60235019114113	2.48187200940317	2.80519942193096
RAB33B	1.25306750631571	1.2150958090926	1.43143373102545
RAB40B	1.15259322233044	1.14414401149159	1.25665882166689
RABEPK	1.50687830178539	1.40787198644238	1.39840257351267
RASL12	0.891107092978019	0.868599679418802	0.948320100324814
RBM26	2.69196586990764	2.43897771837511	2.9656375632025
RBM38	2.63736665096763	2.89921206215764	6.90088918593303
RND1	0.963066960888316	0.95448524895194	1.01913493976419
RNF114	3.09009016758737	2.75574276770213	2.97001888032654
RNF130	3.5310187671012	3.0674915600357	2.94673915285154
RPARP-AS1	1.60526647739247	1.58717301661143	1.80836243578438
RPS18	9.66581285979648	11.7637579777597	7.87506319600283
RPS7	7.89737643480183	9.61628349276673	7.4556186934515
RRP1B	2.64323471125254	2.63777513544085	2.93158983872217
RRS1	2.26889906009718	2.12478921941761	2.0494501717289
RSAD2	2.54213917091985	2.8955103924346	7.10982263687986
RWDD2B	1.68432706321041	1.55564248288165	1.76733818880307
SACS	2.09184422123989	1.86212920129321	2.18121502370602
SEC31A	3.29618725710048	2.868527142116	2.82957846064776
SEPHS1	2.34870813410622	2.20101019787069	2.21226009184691
SEPT11	2.48638736401446	2.05568469863898	2.11190342704282
SF3A3	2.22939659149585	2.00170257707666	1.82549713633999
SKP2	3.02993791739933	2.79668014629547	3.82641892047601
SLC25A32	1.96950467794977	1.80186408822278	2.54813789865617
SLC25A46	2.56553943913688	2.23241731459482	2.98099650106048
SLC35F2	1.47889614701326	1.40858747736627	1.4494026800196
SLC38A1	2.47825462262608	1.88057914917492	2.44228228749028
SLC39A6	2.16501198644845	1.78971597808394	1.73398680673595
SLC7A5	5.25273442183259	5.35822461868911	7.98568437937142
SLC9A6	2.27828047288471	1.85131361148626	2.24189710489744
SMAD4	1.9871360818861	1.80398556346214	2.22248036011691
SMARCC1	2.78996847265943	2.59475645967017	3.18343905062161
SMCO4	1.30801164192628	1.10857912876818	0.992956293659531
SMYD2	1.7699436428913	1.53483379106362	1.4785231877609
SMYD3	1.47929048660007	1.32749479221068	1.26778546510556
SNRPE	4.16963392579994	3.68715240040247	3.88229297422311
SOAT1	1.43248247731506	1.31349092190336	1.39782119390043
SP1	1.55659829700959	1.53696058181136	1.75583560659512
SPRY1	1.51800541589521	1.53271990827697	1.70845349319334
SPRY2	1.24000106645032	1.1886952051864	1.25100565274476
SPTAN1	1.32962858129534	1.21318448005043	1.19717269715451
SRPK2	1.96856264138385	1.74778346879468	1.67187824740787
SRPRB	2.68193825997059	2.61302387673964	2.2933102933509
SSBP1	4.53436061411971	4.03280213578245	3.584926419703
SWAP70	1.68069560569317	1.43074685528112	1.50325841774502
TBC1D9	1.10473109951584	1.05403167860519	1.21867336046798
TCEAL4	1.80149137079272	1.52436880783938	1.40946983911068
TEX10	2.48810871422783	2.26576180538518	2.18383385095031
TGFBR2	2.3643402279945	1.68506162922857	1.87218267080548
TGOLN2	2.76209683704811	2.27312312108452	2.51448801357538
THNSL1	1.1469626854912	1.13858974673531	1.15595239030716
TIMM9	2.12344448254173	2.05385961474722	2.08574889576979
TIPIN	1.98131127839282	1.83800613157366	1.7630064663811
TM7SF3	2.1774577888831	2.21219198715151	2.80456611964106
TMED3	1.85292905348208	1.7572251032505	1.50169271442634
TMEM19	1.28034108209576	1.33712174417967	1.30471749784989
TMEM255A	0.938733442336691	0.933765180593518	0.989527778767999
TMEM30A	2.55730363746468	2.15741252910769	2.57070906002731
TMEM59	4.11108079434826	4.1354095526098	5.0417040877774
TNS1	4.49883152209978	6.35958481949805	8.65718516698404
TOP2B	4.2129059075414	3.81758276422253	4.27253589504042
TRAF3	1.43646221639048	1.42466179965479	1.33754698873015
TRANK1	1.53588999438126	1.44458533549159	1.51490624924509
TSPAN5	3.46924947956258	4.17251831859031	8.89537842143873
TSR1	2.55362818082909	2.17742373899321	2.47632916284216
TTC19	2.69471101723939	2.33351576133663	2.42603093168016
TTC27	2.37792833362371	2.27509406397244	2.04522557852615
UBA5	1.78372466201998	1.64466937962878	1.67987331726337
UBA6	1.78453341849493	1.70968701726354	1.80866630918943
UGP2	2.90589340598247	2.121300120057	2.01208746898467
URI1	2.83090661457808	2.45442683482155	2.42316466261257
USP13	1.30889351851582	1.23815400433995	1.19583049950945
USP9X	5.32545602140845	5.06400251690323	7.67357263280219
UTP6	2.53814049235469	2.34429146008272	2.22666357417799
VAMP8	3.52009065635787	3.36447143299171	2.29902059764154
VDAC1	2.72426582003074	2.26807693155489	2.54657379384354
VIM	4.18141638246648	2.21518694683121	1.58493096633669
WDR3	2.43970924937211	2.21473414423727	2.39859475918417
WNK1	5.11857638870157	5.03800027702691	7.89158942530164
XPO7	3.37792895333377	3.18499273073556	7.14811463465389
YARS2	1.57006764692207	1.43918859971303	1.53824684695906
ZCCHC11	1.48407585856981	1.38425637217589	1.32004651673828
ZFP64	1.67604094048097	1.55131268467412	1.53760674901368
ZKSCAN8	1.39017405607591	1.42226505103767	1.44143116377041
ZNF432	1.29950237797221	1.24423696153874	1.23840796111655
